Brand Name,Product Name,,Rating,ReviewText
The Ordinary,"The Ordinary AHA 30% + BHA 2% Peeling Solution, Advanced Exfoliating Peel for Brighter Skin",,1.0 out of 5 stars,"it burns, and is awful for sensitive and dry skin"
The Ordinary,"The Ordinary AHA 30% + BHA 2% Peeling Solution, Advanced Exfoliating Peel for Brighter Skin",,1.0 out of 5 stars,"The gel peel was easy to apply and because it is such a deep color you can't really miss in applying an even coat.
That being said, I first applied the chemical and waited 9 minutes, but nothing happened. I mean no itch or warming sensation at all.
I do not have super sensitive skin, but my skin is sensitive. I waited 48 hours, but nothing peeled or changed at all. I put on a second time to give it a second chance, but there was still no change. I bought it because of all the hype from the reviews, but this product is just hype. The price I paid for it and the seller I bought it from were the only positive things I can say about the product.
I am a white male at the age of 46.
Just to make sure anyone understands that I truly tested this product. The area I tried the product on was my face and the other was my private area to try and get rid of hyper pigmentation. I left it on my private area for 45 minutes to just make sure that the product is a waste of time.
People are buying this product for two main reasons. First, the cheap price that makes it inexpensive to buy and the other being all the high rated reviews saying that this product works so good."
The Ordinary,"The Ordinary AHA 30% + BHA 2% Peeling Solution, Advanced Exfoliating Peel for Brighter Skin",,1.0 out of 5 stars,"It's been a long journey for me to give you this review. Like you, I wanted so badly for this product to work, and bought it expecting results. First few times I used it I did as directed, left on for 10 mins and did once a week. Did not notice any change any of those times, so I started using it twice a week and still didnt see results. SO I upped my usage to every other day, and left on for 2 mins longer than it says to, and finally started to see a clearer complexion overall. Like you, I saw the bad reviews on here and so I ended up buying another directly from their website (cheaper on there too!) and used it for the first time last night. WOW, it was like night and day. It burnt the crap out of my face properly like an acid peel is intended to, and I woke up with phenomenal results. Such good results that I had to put in my review, its only 7:40 a.m. Do not buy this inferior product, go directly to the website. You are wasting your time if you buy from here. Pretty sure all the people seeing results with this product are all experiencing the placebo effect."
The Ordinary,"The Ordinary AHA 30% + BHA 2% Peeling Solution, Advanced Exfoliating Peel for Brighter Skin",,1.0 out of 5 stars,"I’m very familiar with aha products… the directions say to leave on no more than 10 minutes. Normally I have difficulty waiting the full 10 minutes because I have sensitive skin. I can leave this product on overnight (and have) with zero tingling, as well as zero benefit. Very disappointing. Will have to go out of my way calling customer support to return. Not happy"
The Ordinary,"The Ordinary AHA 30% + BHA 2% Peeling Solution, Advanced Exfoliating Peel for Brighter Skin",,1.0 out of 5 stars,"I tried this product out because I thought it would help me with my acne and it had amazing reviews. The first time I tried it was fine, but then the second time I tried it there was EXTREME discomfort. It was the worst pain I have ever felt on my face, and I couldn't leave it on for more than a minute because I was in so much pain.

I am so lucky because it did not give me a chemical burn, but NO ONE should buy this product! There are too many chemicals for the average face. After I took it off, I researched more about it and there are a lot of people who have been in my situation, or had it WAY worse. Anyways, save your money. Just because social media says its good, it isn't.

I ALSO tried to get a refund on the product, and they said I can't. So that is also very fun..."
The Ordinary,"The Ordinary AHA 30% + BHA 2% Peeling Solution, Advanced Exfoliating Peel for Brighter Skin",,1.0 out of 5 stars,"I never really considered myself someone with particularly delicate skin. I'd say my skin type is ""normal"", with a slightly oilier t-zone than cheek area. For context, I'm 35, white, female. I was hoping for a brightening peel that would pep up my dull, winter-weary skin. This took off my whole winter-weary face. I experienced light tingling during use but nothing significant, washed it off, it wasn't until an hour later that my skin started to get red and puffy accompanied by a severe burning sensation. I tried washing my face again and applying face oil but nothing helped. My face was raw and red for 2-3 days, followed by ungodly peeling (luckily no sustained scarring). I have other products from this line and have tried other peels from other brands; this is the only time I've had such a painful, alarming reaction. Seems to work for a lot of people, but my experience was pretty horrendous."
The Ordinary,"The Ordinary AHA 30% + BHA 2% Peeling Solution, Advanced Exfoliating Peel for Brighter Skin",,1.0 out of 5 stars,"This product is just not for me, unfortunately. I have oily, acne prone skin, with little sensitivity to pretty much any skincare product but this product I had such a sensitivity to, sadly. The first time I used this, everything was fine, no reaction, left on for 10 minutes, an hour later my face was itchy. I thought nothing of it, but I did notice that the cystic acne on the side of my face was noticeably worse. The second time I used this, the itching was immediate and intense! I washed it off as soon as I could, and could not be more mortified. Thankfully, nothing happened to my skin, but who knows what would have happened had I not washed it off immediately. Right now, I think I’ll just stick to personal microdermabrasion and vitamin a.
Don’t let this review scare you, because I know so many people who like this product, but be cautious of what you could be allergic to!"
The Ordinary,"The Ordinary AHA 30% + BHA 2% Peeling Solution, Advanced Exfoliating Peel for Brighter Skin",,1.0 out of 5 stars,"I'm 42 and actively treating sun damage accumulated during my 20s. I've been using 10% AHA (Paula's Choice) on a weekly basis, for about a year now, to help with uneven texture and dry, rough patches - with noticeable results. I was ready for something stronger. I bought this and left it on for 10 minutes the first time since 30% AHA seemed serious, but didn't notice any results. The second time I left it on for 20 minutes, but still no difference in my skin. The third time I left it on for 45 minutes before rinsing it off in the shower. I felt nothing. My skin did not feel any softer as I rinsed the product off. I regularly use other products by The Ordinary that I purchased from Sephora (Buffet, Granactive Retinol, HA Moisturizer, Rosehip Oil Serum) and those have been game changers for me. This should have been much stronger. Complete waste of $$$."
The Ordinary,"The Ordinary AHA 30% + BHA 2% Peeling Solution, Advanced Exfoliating Peel for Brighter Skin",,1.0 out of 5 stars,"I was so excited to try this peel. I don't have abnormally sensitive skin and get enzyme facials once a month without issues. I tried this on Sunday evening, left it on for 8 minutes - did not experience any tingling or any discomfort, was careful when I washed it off and applied a good moisturizer afterwards. Monday my skin felt a little dry, so I used a heavier cream during the day (one that I use often). When I woke up Tuesday morning, I had a rash all around my lower face kind of like a beard! It's super itchy and irritated still. I'm putting fresh aloe vera pulp on it hoping that it will calm it down and promote healing...guess I should have done a patch test before smearing it all over my face."
The Ordinary,"The Ordinary AHA 30% + BHA 2% Peeling Solution, Advanced Exfoliating Peel for Brighter Skin",,1.0 out of 5 stars,"It really sucked to see that my order had finally shipped, just to check the mail and it was damaged! I was really excited to use this product as I have seen so many good reviews on tiktok! I was originally suppose to receive the product 6/4, but did not receive it until 6/15. Which tells me it is a high demand and probably great product! Only I won’t get a chance to find out."
